,SUBZONE_N,33,7,25,12,15,6,29,2,27,34,28,20,16,23,14,3,10,0
41,WOODLANDS EAST,1883.0,3587.0,3536.0,2965.0,3813.0,1311.0,2056.0,2956.0,2177.0,3475.0,2071.0,2976.0,3013.0,2897.0,3395.0,3230.0,1503.0,4112.0
42,SZ4,4960.0,2679.0,3339.0,3631.0,4299.0,4110.0,5182.0,3862.0,4252.0,5842.0,2901.0,2089.0,2768.0,5123.0,3221.0,1775.0,3207.0,2476.0
43,SZ5,5325.0,2633.0,3293.0,3585.0,3355.0,4586.0,5136.0,3816.0,4394.0,5796.0,2855.0,2089.0,2722.0,5077.0,3175.0,1729.0,4010.0,2712.0
44,SZ2,5232.0,2450.0,3110.0,3402.0,3172.0,4660.0,4433.0,3633.0,3299.0,5613.0,2672.0,1906.0,2539.0,4894.0,2992.0,1546.0,3306.0,2560.0
45,HOLLAND DRIVE,2957.0,3036.0,2988.0,1519.0,2967.0,3225.0,2170.0,1292.0,2695.0,3010.0,1950.0,3092.0,1985.0,2291.0,2870.0,3212.0,3134.0,3917.0
46,GHIM MOH,2934.0,3056.0,3453.0,1496.0,2944.0,3202.0,2147.0,1487.0,3160.0,2987.0,2415.0,3557.0,2450.0,2268.0,3009.0,3677.0,3599.0,3894.0
47,KAMPONG UBI,4939.0,2314.0,1838.0,2855.0,1999.0,4252.0,4230.0,3215.0,3312.0,5945.0,2240.0,2416.0,2580.0,4476.0,1504.0,2902.0,3424.0,1766.0
48,SINGAPORE POLYTECHNIC,2320.0,2682.0,2696.0,1122.0,2570.0,2588.0,1533.0,1113.0,3334.0,2373.0,2339.0,3458.0,2507.0,1654.0,2635.0,3578.0,3380.0,3520.0
49,COMMONWEALTH,2956.0,3292.0,2852.0,1278.0,2726.0,3224.0,2169.0,1269.0,3490.0,3009.0,2579.0,3614.0,2663.0,2290.0,2791.0,3734.0,3874.0,3676.0
50,MEI CHIN,3178.0,3671.0,2834.0,1260.0,2708.0,3446.0,2391.0,212.0,3472.0,3231.0,3126.0,3596.0,2645.0,2512.0,2773.0,3716.0,3998.0,3658.0
51,TANGLIN HALT,2891.0,2773.0,2787.0,1213.0,2661.0,3159.0,2104.0,1046.0,3425.0,2944.0,2735.0,3549.0,2598.0,2225.0,2726.0,3669.0,3951.0,3611.0
52,MARGARET DRIVE,3146.0,2788.0,2802.0,1288.0,2676.0,3414.0,2359.0,795.0,3440.0,3199.0,3094.0,3564.0,2613.0,2480.0,2741.0,3684.0,3966.0,3626.0
53,BENCOOLEN,3286.0,1541.0,1666.0,1848.0,1968.0,3723.0,2577.0,2079.0,2369.0,4292.0,2023.0,2424.0,927.0,3340.0,1921.0,2544.0,2895.0,2488.0
54,FARRER PARK,3444.0,1367.0,1991.0,1959.0,1856.0,3881.0,2735.0,2190.0,2527.0,4450.0,2181.0,2143.0,1007.0,3451.0,2112.0,2263.0,3095.0,2709.0
55,SIMEI,4986.0,3067.0,2421.0,2828.0,2271.0,5194.0,4199.0,3059.0,3840.0,5039.0,3063.0,3535.0,2773.0,4320.0,1941.0,3725.0,4366.0,1386.0
56,TAMPINES EAST,5609.0,3230.0,2740.0,3271.0,2714.0,4630.0,4822.0,3502.0,4283.0,5482.0,3142.0,3215.0,3496.0,4763.0,2384.0,3388.0,3646.0,1460.0
57,TAMPINES WEST,5599.0,2974.0,2484.0,3668.0,2753.0,4956.0,5430.0,3899.0,3631.0,5879.0,2886.0,3354.0,3240.0,5160.0,2164.0,3548.0,3785.0,669.0
58,YISHUN SOUTH,2972.0,3335.0,3365.0,3119.0,3642.0,2400.0,3145.0,3350.0,2006.0,4564.0,1900.0,2706.0,2842.0,3986.0,3224.0,2645.0,836.0,3142.0
59,NORTHLAND,3274.0,3958.0,3907.0,3936.0,4184.0,2702.0,3447.0,4167.0,2548.0,4866.0,2442.0,3677.0,3384.0,4288.0,3766.0,3903.0,1523.0,4053.0
60,YISHUN CENTRAL,2815.0,3451.0,3448.0,3477.0,3725.0,2243.0,2988.0,3708.0,2089.0,4407.0,1983.0,2822.0,2925.0,3829.0,3307.0,2821.0,704.0,3258.0
61,YISHUN WEST,2915.0,3599.0,3548.0,3577.0,3825.0,2343.0,3088.0,3808.0,2189.0,4507.0,2083.0,3333.0,3025.0,3929.0,3407.0,3452.0,1117.0,3451.0
62,YISHUN EAST,3460.0,4144.0,4093.0,4122.0,4370.0,2888.0,3633.0,4353.0,2734.0,5052.0,2628.0,3714.0,3570.0,4474.0,3952.0,3346.0,1877.0,4090.0
63,KHATIB,2874.0,3318.0,3267.0,3296.0,3544.0,2302.0,3047.0,3527.0,1908.0,4466.0,1802.0,2883.0,2744.0,3888.0,3126.0,2822.0,1071.0,3319.0
64,HOUGANG CENTRAL,4784.0,2092.0,2752.0,3044.0,3207.0,4326.0,4075.0,3275.0,2781.0,5255.0,2314.0,1109.0,2181.0,4536.0,2850.0,1668.0,3595.0,2886.0
