,SUBZONE_N,341,11,193,226,187,25,77,138,101,273,96,10,133,232,18,5,233,176,275,207,344,315,246,293,200,15,100,58,7,31,245,95,257,134,60
31,SZ3,29328.0,10407.0,6695.0,11456.0,7316.0,13255.0,25071.0,13720.0,17174.0,11320.0,10825.0,19649.0,22912.0,11504.0,28598.0,3700.0,11091.0,7517.0,16216.0,11813.0,26373.0,14107.0,14809.0,21893.0,21339.0,36765.0,13596.0,5200.0,3268.0,16582.0,15652.0,18217.0,43707.0,12651.0,7859.0
32,CRAWFORD,18403.0,10927.0,14725.0,16540.0,11955.0,13871.0,17078.0,13483.0,2896.0,22032.0,21282.0,23834.0,11319.0,17044.0,20605.0,17356.0,16564.0,18293.0,10964.0,17486.0,18380.0,22495.0,7816.0,13900.0,29300.0,24952.0,1669.0,13905.0,17644.0,3499.0,14028.0,7410.0,37219.0,7024.0,12549.0
33,BOON KENG,17861.0,9386.0,13785.0,18149.0,8429.0,12459.0,15384.0,15093.0,5359.0,15228.0,17795.0,25444.0,16025.0,16184.0,18910.0,13531.0,15496.0,16880.0,9552.0,17227.0,16686.0,21068.0,6403.0,12205.0,30909.0,26286.0,4198.0,12966.0,13820.0,4681.0,12616.0,6563.0,41408.0,3079.0,11249.0
34,KAMPONG JAVA,16950.0,7710.0,11062.0,10154.0,8069.0,16454.0,12132.0,7525.0,4398.0,9543.0,11103.0,17876.0,10533.0,17839.0,15659.0,13470.0,17359.0,16922.0,13547.0,18281.0,13434.0,15383.0,9580.0,8954.0,23341.0,24387.0,990.0,10242.0,13759.0,4204.0,16611.0,10774.0,32273.0,2558.0,10562.0
35,BENDEMEER,18036.0,9147.0,9862.0,13150.0,6869.0,18844.0,13778.0,13893.0,5882.0,13014.0,12316.0,24244.0,11619.0,18151.0,17305.0,12270.0,16049.0,15722.0,16747.0,16971.0,15080.0,17645.0,10495.0,10600.0,29710.0,25472.0,2304.0,9042.0,12559.0,5290.0,17929.0,9074.0,33919.0,719.0,9362.0
36,GEYLANG BAHRU,19124.0,6989.0,12247.0,12233.0,7077.0,16287.0,22520.0,14657.0,7379.0,13014.0,12328.0,25008.0,12547.0,13972.0,26046.0,11667.0,13492.0,14564.0,10466.0,14414.0,23822.0,19639.0,8084.0,19341.0,25088.0,28419.0,3377.0,11427.0,11956.0,5202.0,15372.0,9231.0,42660.0,1962.0,9729.0
37,KAMPONG BUGIS,17892.0,9804.0,13847.0,18180.0,8479.0,12490.0,15415.0,15124.0,5390.0,15175.0,17826.0,25475.0,16056.0,16215.0,18941.0,14741.0,15527.0,16911.0,9583.0,17258.0,16717.0,21015.0,6434.0,12236.0,30940.0,26317.0,3379.0,13027.0,15030.0,4712.0,12647.0,6802.0,41439.0,3828.0,11280.0
38,MARINE PARADE,22465.0,15637.0,13646.0,19836.0,7653.0,8622.0,19763.0,17527.0,9017.0,18316.0,19002.0,27878.0,22725.0,13236.0,23289.0,22283.0,15951.0,15509.0,8273.0,13857.0,21065.0,24156.0,4626.0,17374.0,31514.0,31022.0,8775.0,12827.0,22571.0,9983.0,9089.0,2132.0,40674.0,8285.0,11334.0
39,NORTH COAST,21776.0,22423.0,15307.0,11907.0,25351.0,36603.0,17038.0,19765.0,32132.0,11864.0,11114.0,7348.0,23299.0,29388.0,14010.0,30752.0,30298.0,24751.0,33696.0,30660.0,13404.0,10201.0,30548.0,24993.0,4608.0,23166.0,26367.0,15902.0,18611.0,31454.0,36760.0,32443.0,25116.0,27235.0,16167.0
40,WOODLANDS SOUTH,22109.0,19131.0,12014.0,8614.0,22059.0,33311.0,24837.0,17047.0,29414.0,8571.0,7821.0,10730.0,22717.0,27522.0,13643.0,27460.0,28432.0,22909.0,30404.0,28794.0,13961.0,8528.0,27256.0,21701.0,3087.0,23499.0,23075.0,12609.0,20927.0,28736.0,33468.0,32756.0,25450.0,23943.0,12874.0
