,SUBZONE_N,141,149,79,105,115,142,148,33,106,77,15,151,103,116,56,129,52,71,4,23,48,67,157,78
57,TAMPINES WEST,11183.0,16370.0,15549.0,30192.0,15860.0,5278.0,42113.0,10709.0,18659.0,14843.0,16063.0,15246.0,19119.0,13931.0,20494.0,13930.0,8553.0,33714.0,32922.0,27200.0,15495.0,1139.0,22405.0,18786.0
58,YISHUN SOUTH,26360.0,23299.0,15580.0,31171.0,15891.0,21499.0,33208.0,12526.0,24345.0,16042.0,16094.0,22523.0,10030.0,18462.0,20231.0,9621.0,17060.0,24799.0,25226.0,5366.0,15526.0,20266.0,23384.0,27181.0
59,NORTHLAND,28353.0,22441.0,17573.0,27545.0,17884.0,23751.0,32430.0,14867.0,24674.0,18036.0,18087.0,21514.0,14681.0,20455.0,24470.0,11615.0,19054.0,24021.0,27219.0,4588.0,17519.0,22439.0,25358.0,21549.0
60,YISHUN CENTRAL,27685.0,21773.0,16905.0,26877.0,17216.0,22355.0,31762.0,13385.0,24006.0,17368.0,17419.0,20846.0,10886.0,19787.0,21087.0,10947.0,18386.0,23353.0,26551.0,3920.0,16851.0,21123.0,24690.0,20881.0
61,YISHUN WEST,27884.0,21972.0,17104.0,27076.0,17415.0,23072.0,31961.0,14212.0,24205.0,17567.0,17618.0,21045.0,10470.0,19986.0,21961.0,11146.0,18585.0,23552.0,26750.0,4119.0,17050.0,21928.0,24889.0,21080.0
62,YISHUN EAST,29346.0,23434.0,18566.0,28538.0,18877.0,24591.0,33423.0,15637.0,25667.0,14459.0,19080.0,22507.0,13121.0,21448.0,23322.0,12608.0,20047.0,25014.0,28212.0,5581.0,18512.0,23375.0,26351.0,22542.0
63,KHATIB,26208.0,20296.0,15428.0,28171.0,15739.0,21651.0,33056.0,12678.0,22529.0,15890.0,15942.0,19369.0,10182.0,18310.0,20383.0,9469.0,16908.0,24647.0,25074.0,5214.0,15374.0,20418.0,23213.0,19404.0
64,HOUGANG CENTRAL,19839.0,14534.0,12811.0,23167.0,13122.0,13520.0,35088.0,3192.0,15979.0,526.0,13325.0,12819.0,12355.0,12181.0,18545.0,7166.0,9097.0,26689.0,22207.0,20436.0,12757.0,10400.0,15380.0,12416.0
65,SHANGRI-LA,25162.0,15003.0,10121.0,22876.0,10432.0,34558.0,34797.0,13360.0,16050.0,8136.0,10635.0,14228.0,3940.0,13003.0,13880.0,3377.0,15777.0,26398.0,17766.0,12673.0,10067.0,32722.0,15089.0,18885.0
66,SUNGEI SERANGOON WEST,23538.0,18233.0,16510.0,26866.0,16821.0,11639.0,38787.0,832.0,19678.0,4814.0,17024.0,16518.0,13488.0,15880.0,21587.0,10865.0,12796.0,30388.0,25906.0,17649.0,16456.0,10917.0,19079.0,16115.0
67,MIDVIEW,35054.0,30446.0,24274.0,20000.0,24585.0,26914.0,24885.0,17755.0,31375.0,21136.0,24788.0,28215.0,14041.0,27156.0,26509.0,18315.0,25754.0,16476.0,14739.0,5148.0,24220.0,26150.0,28218.0,28250.0
68,BUKIT HO SWEE,11954.0,3673.0,2546.0,9231.0,2408.0,23987.0,21152.0,19289.0,5529.0,15506.0,2612.0,2476.0,15930.0,6140.0,4342.0,14660.0,11597.0,12753.0,14601.0,27883.0,2530.0,22151.0,787.0,7650.0
69,SERANGOON GARDEN,10105.0,13329.0,14448.0,18729.0,14759.0,16468.0,30650.0,8295.0,14774.0,5277.0,14962.0,11614.0,7561.0,13826.0,16101.0,5668.0,7691.0,22251.0,21002.0,17000.0,14394.0,15038.0,14175.0,13064.0
70,SERANGOON CENTRAL,8717.0,11431.0,9708.0,16961.0,10019.0,16113.0,28882.0,8353.0,12876.0,4570.0,10222.0,9716.0,9181.0,12058.0,14820.0,3992.0,5923.0,20483.0,19104.0,17262.0,9654.0,13270.0,12277.0,11296.0
71,PANG SUA,29698.0,26686.0,38057.0,16240.0,22780.0,47001.0,21125.0,25345.0,27189.0,28959.0,22889.0,24445.0,20994.0,21965.0,19457.0,32099.0,34611.0,12716.0,7424.0,18931.0,38003.0,45165.0,24458.0,21402.0
72,PANG SUA,32816.0,23085.0,31576.0,12639.0,31887.0,43400.0,17524.0,25937.0,23588.0,32039.0,32090.0,22915.0,21533.0,25553.0,17225.0,25618.0,31010.0,9115.0,5192.0,12450.0,31522.0,41564.0,20857.0,19155.0
73,VICTORIA,8783.0,3806.0,3038.0,14510.0,3349.0,17623.0,26430.0,15091.0,6038.0,11307.0,3552.0,2625.0,8104.0,781.0,10296.0,8904.0,5355.0,18032.0,13584.0,22128.0,2984.0,14615.0,6723.0,1103.0
74,TELOK BLANGAH WAY,13686.0,6540.0,7881.0,9910.0,4184.0,24666.0,21831.0,19786.0,2444.0,16003.0,4388.0,4167.0,14097.0,5723.0,4137.0,14107.0,12276.0,13432.0,22107.0,27330.0,4306.0,20501.0,4269.0,7972.0
75,DEPOT ROAD,14892.0,7553.0,6410.0,9835.0,6272.0,26153.0,20864.0,23513.0,4214.0,19729.0,7254.0,8123.0,11882.0,10320.0,1283.0,17519.0,13762.0,12465.0,13748.0,26229.0,6394.0,24316.0,4073.0,11075.0
76,PAYA LEBAR,6038.0,11041.0,12100.0,19327.0,12411.0,13616.0,31248.0,11053.0,23934.0,7270.0,12614.0,8738.0,11547.0,9192.0,15732.0,6358.0,3061.0,22849.0,20974.0,19628.0,12046.0,10568.0,13958.0,8435.0
77,TIONG BAHRU,13155.0,3425.0,4714.0,8983.0,2836.0,23739.0,20904.0,19041.0,5281.0,15258.0,3040.0,2453.0,15682.0,5892.0,3524.0,14412.0,11349.0,12505.0,20334.0,27635.0,2958.0,21903.0,777.0,7402.0
78,KAMPONG TIONG BAHRU,12161.0,3912.0,4403.0,9470.0,4265.0,24226.0,21391.0,18333.0,2881.0,14550.0,4469.0,3033.0,13786.0,6379.0,3040.0,14899.0,11836.0,12992.0,15756.0,28122.0,4387.0,22390.0,1365.0,5850.0
79,DOVER,20054.0,10354.0,7394.0,3440.0,6861.0,30669.0,15187.0,22319.0,8560.0,18536.0,6635.0,11599.0,12117.0,12821.0,5698.0,12332.0,18278.0,6789.0,10757.0,26165.0,7378.0,28832.0,8126.0,10611.0
80,WOODGROVE,31362.0,28912.0,25791.0,18466.0,26102.0,27345.0,23351.0,18186.0,29415.0,26254.0,26305.0,29732.0,15075.0,28673.0,24975.0,19833.0,27272.0,14942.0,13225.0,6665.0,25737.0,26581.0,26684.0,29767.0
81,SEMBAWANG CENTRAL,30592.0,24680.0,19812.0,23643.0,20123.0,25922.0,28528.0,16949.0,26913.0,20274.0,20326.0,23753.0,12755.0,22694.0,30152.0,13853.0,21292.0,20119.0,29458.0,335.0,19758.0,24689.0,31861.0,23788.0
82,SEMBAWANG NORTH,31419.0,25507.0,20639.0,24470.0,20950.0,26749.0,29355.0,17776.0,27740.0,21101.0,21153.0,24580.0,14023.0,23521.0,30979.0,14680.0,22119.0,20946.0,30285.0,1346.0,20585.0,25516.0,32688.0,24615.0
83,BRADDELL,16048.0,10136.0,5268.0,20840.0,5579.0,18971.0,32761.0,20953.0,12369.0,17169.0,5782.0,9209.0,4475.0,8150.0,11653.0,1654.0,13646.0,34311.0,14914.0,14877.0,5214.0,13212.0,13053.0,9244.0
84,POTONG PASIR,8386.0,8855.0,7132.0,17488.0,7443.0,17228.0,29409.0,10026.0,10300.0,6242.0,7646.0,7140.0,10924.0,6502.0,12209.0,5735.0,7666.0,21010.0,16528.0,26222.0,7078.0,23217.0,9701.0,6737.0
85,KIM KEAT,8960.0,10622.0,5754.0,14765.0,6065.0,17392.0,33247.0,11262.0,11536.0,7478.0,6268.0,8376.0,6172.0,8636.0,11513.0,3929.0,5685.0,24848.0,15509.0,17153.0,5700.0,13071.0,13539.0,7784.0
86,TOA PAYOH CENTRAL,11217.0,9707.0,4839.0,20411.0,5150.0,17642.0,32332.0,20524.0,11940.0,16740.0,5353.0,8780.0,3914.0,7721.0,9948.0,3014.0,13217.0,23933.0,14486.0,16238.0,4785.0,15833.0,12624.0,8815.0
