,SUBZONE_N,0,1,176,73,131,129,127,37,163,87,15,68,69,52,100,33,128,53,45,146,136,79
52,MARGARET DRIVE,13005.0,25930.0,8660.0,20848.0,19311.0,13088.0,29708.0,3775.0,14454.0,6515.0,27743.0,11400.0,29843.0,5501.0,27785.0,28278.0,28539.0,21434.0,10633.0,26409.0,17160.0,2853.0
53,BENCOOLEN,18133.0,25334.0,10381.0,13058.0,11521.0,3123.0,21007.0,6939.0,7749.0,14962.0,18004.0,3540.0,20104.0,6785.0,18046.0,19922.0,18461.0,17236.0,11332.0,16709.0,10455.0,8470.0
54,FARRER PARK,17815.0,25017.0,10063.0,12688.0,11151.0,2806.0,20690.0,6100.0,7209.0,14123.0,17687.0,3240.0,20929.0,8272.0,17729.0,17079.0,17921.0,16919.0,11014.0,16169.0,9915.0,7632.0
55,SIMEI,34454.0,27512.0,24766.0,13402.0,12459.0,19722.0,37379.0,19942.0,9356.0,27964.0,34377.0,14744.0,36477.0,21435.0,34419.0,6330.0,6857.0,32610.0,25717.0,2981.0,5555.0,21473.0
56,TAMPINES EAST,36381.0,26185.0,32767.0,11472.0,11132.0,25510.0,39305.0,21868.0,9061.0,29891.0,23170.0,13223.0,21145.0,22010.0,22991.0,7383.0,3401.0,40612.0,33718.0,1894.0,7135.0,23399.0
57,TAMPINES WEST,37871.0,27807.0,30119.0,17844.0,16307.0,22861.0,27721.0,22395.0,6413.0,30418.0,24718.0,11476.0,26818.0,19362.0,24760.0,6338.0,6076.0,37963.0,31070.0,4324.0,4487.0,23926.0
58,YISHUN SOUTH,23733.0,10214.0,22423.0,11381.0,15413.0,15102.0,5887.0,23374.0,17501.0,31397.0,2884.0,17323.0,2778.0,25006.0,4009.0,17906.0,20939.0,23261.0,23374.0,23492.0,20208.0,24906.0
59,NORTHLAND,22955.0,9436.0,24416.0,16719.0,17754.0,17095.0,5109.0,25348.0,19495.0,27771.0,1169.0,19575.0,2389.0,25629.0,860.0,20157.0,24530.0,22483.0,25367.0,25500.0,22202.0,26879.0
60,YISHUN CENTRAL,22287.0,8768.0,23748.0,12244.0,16272.0,16427.0,4441.0,24680.0,18827.0,27103.0,1373.0,18179.0,2934.0,24961.0,1301.0,18762.0,21795.0,21815.0,24699.0,24348.0,21534.0,26211.0
61,YISHUN WEST,22486.0,8967.0,23947.0,13118.0,19031.0,16626.0,3336.0,24879.0,19026.0,27302.0,647.0,19054.0,3395.0,25160.0,926.0,18627.0,22601.0,22014.0,24898.0,25154.0,21733.0,26410.0
