,SUBZONE_N,102,61,104,52,122,19,119,3,93,103,1,95,22,23,35,111,76,101,4
41,WOODLANDS EAST,31875.0,7055.0,24007.0,17927.0,320.0,15042.0,23425.0,27176.0,23025.0,27779.0,4226.0,21087.0,14367.0,14392.0,19078.0,20576.0,35750.0,23859.0,26762.0
42,SZ4,20300.0,15541.0,15214.0,14154.0,19505.0,16090.0,38126.0,18663.0,14231.0,13107.0,21990.0,28752.0,9400.0,11729.0,12234.0,8297.0,17943.0,20357.0,23705.0
43,SZ5,15863.0,15629.0,14834.0,13774.0,27766.0,20356.0,37746.0,18283.0,13851.0,12727.0,24594.0,28372.0,13450.0,13166.0,11854.0,8667.0,16834.0,19977.0,23325.0
44,SZ2,14614.0,15155.0,13585.0,12525.0,19288.0,19107.0,36497.0,17034.0,12602.0,11478.0,23345.0,27123.0,9809.0,10749.0,10605.0,7418.0,16453.0,18728.0,22076.0
45,HOLLAND DRIVE,17932.0,21103.0,17541.0,9246.0,24494.0,12368.0,13583.0,8819.0,16558.0,18329.0,25099.0,4209.0,12877.0,12902.0,14744.0,14598.0,21807.0,2424.0,3080.0
46,GHIM MOH,17937.0,22366.0,18119.0,10508.0,24499.0,13630.0,13588.0,8824.0,17821.0,19592.0,25104.0,4214.0,14140.0,14165.0,16007.0,15861.0,21812.0,3687.0,3738.0
47,KAMPONG UBI,2336.0,18985.0,3501.0,7221.0,23064.0,15654.0,31903.0,10091.0,2297.0,4100.0,27036.0,22530.0,9262.0,9791.0,7335.0,3829.0,6869.0,15275.0,14623.0
48,SINGAPORE POLYTECHNIC,18672.0,29243.0,18854.0,18806.0,22443.0,14444.0,11531.0,9559.0,17021.0,17141.0,23048.0,2158.0,23275.0,23300.0,16821.0,20318.0,22547.0,4501.0,4473.0
49,COMMONWEALTH,16729.0,32260.0,16911.0,8944.0,25460.0,13173.0,14548.0,7616.0,15078.0,15198.0,26065.0,5174.0,21332.0,21357.0,12370.0,18375.0,20604.0,1596.0,2530.0
50,MEI CHIN,15604.0,28435.0,15786.0,15739.0,26738.0,15947.0,15826.0,6491.0,13953.0,14074.0,27343.0,6453.0,20208.0,20233.0,16987.0,17250.0,19479.0,3726.0,291.0
51,TANGLIN HALT,16638.0,32169.0,16820.0,16772.0,25369.0,14085.0,14457.0,7525.0,14987.0,15107.0,25974.0,5083.0,21241.0,21266.0,16462.0,18284.0,20513.0,2851.0,2439.0
